cbsa,cbsa_name,X000,X01,X02,X03,X04,X05,X06,X07,X08,X09,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,total_workers,worker_to_jobloss_rate,cbsa_cbsaName
46020,"Truckee-Grass Valley, CA",2769,0.0,5.6,10.4,110.8,63.6,32.1,150.4,-2.1,80.0,17.7,50.7,3.1,12.4,63.2,366.3,5.7,490.7,840.7,328.4,138.5,36684,0.07547,"46020, Truckee-Grass Valley, CA"
47220,"Vineland-Bridgeton, NJ",3589,0.0,0.3,15.6,348.2,242.3,144.7,252.5,65.0,28.1,-17.1,68.3,21.9,10.5,220.2,-108.2,943.2,160.2,702.2,294.3,196.5,63104,0.05687,"47220, Vineland-Bridgeton, NJ"
49020,"Winchester, VA-WV",2429,0.0,-7.0,2.0,115.1,163.1,23.6,51.3,-39.4,101.8,116.3,16.5,-106.1,27.3,121.0,243.6,245.8,294.7,823.0,176.0,59.8,61640,0.0394,"49020, Winchester, VA-WV"
11100,"Amarillo, TX",2396,0.0,317.7,-20.0,479.0,256.6,-15.3,-0.3,-136.3,80.0,-102.8,29.7,-180.8,21.8,-14.6,101.2,341.8,228.0,626.1,348.4,35.8,114089,0.021,"11100, Amarillo, TX"
12780,"Bartlesville, OK",1144,0.0,699.8,0.9,15.4,110.5,2.8,-23.3,-2.9,36.0,32.7,19.1,8.1,30.3,113.1,-75.6,120.4,37.1,-15.5,25.5,10.0,21737,0.05264,"12780, Bartlesville, OK"
13900,"Bismarck, ND",3133,0.0,541.4,22.8,268.8,66.7,118.0,44.0,147.6,1.6,62.4,16.7,370.9,2.2,195.9,-52.7,631.8,117.3,390.9,100.3,86.6,68085,0.04602,"13900, Bismarck, ND"
15680,"California-Lexington Park, MD",1959,0.0,-0.3,15.0,197.4,68.1,42.5,106.8,132.5,44.5,27.4,28.8,-57.1,6.7,105.0,35.2,193.3,159.1,683.8,159.7,10.2,44212,0.0443,"15680, California-Lexington Park, MD"
16180,"Carson City, NV",1259,0.0,-11.0,-6.5,114.4,-65.2,-23.8,-118.1,-81.1,53.1,-8.7,31.5,-26.1,30.6,87.2,88.4,132.0,217.7,731.6,30.5,82.5,25473,0.04943,"16180, Carson City, NV"
17860,"Columbia, MO",1823,0.0,-6.7,5.9,19.8,49.6,46.1,394.0,-24.5,83.1,122.3,186.7,-63.0,146.8,105.1,-511.8,162.8,200.3,676.9,132.1,97.8,75983,0.024,"17860, Columbia, MO"
18180,"Concord, NH",3337,0.0,-4.4,5.1,131.2,365.2,124.2,465.0,-85.4,97.8,-84.4,67.1,-92.6,-19.6,144.9,631.7,600.2,-16.5,490.1,250.6,266.6,77211,0.04322,"18180, Concord, NH"
19060,"Cumberland, MD-WV",1794,0.0,-1.1,5.5,134.3,191.8,39.7,81.7,24.7,48.6,32.0,20.1,-7.9,-1.0,83.9,87.0,258.7,66.5,598.2,94.7,36.4,38009,0.04719,"19060, Cumberland, MD-WV"
19180,"Danville, IL",1899,0.0,1.8,2.2,19.2,365.7,47.9,91.6,-31.2,24.7,37.2,23.3,28.0,11.1,57.4,193.0,257.8,68.5,537.5,73.8,89.7,32095,0.05917,"19180, Danville, IL"
23820,"Gardnerville Ranchos, NV",1114,0.0,-9.9,-7.5,89.5,-41.7,-17.5,-86.0,-60.0,34.2,-6.3,28.6,-22.6,21.4,63.7,91.2,97.6,191.5,674.5,24.1,49.0,19591,0.05686,"23820, Gardnerville Ranchos, NV"
24780,"Greenville, NC",1791,0.0,-1.0,-6.5,-12.5,2.2,-22.4,79.3,-132.6,-1.3,-17.0,27.8,-147.4,42.0,74.8,538.7,528.7,51.8,567.8,117.0,101.3,70779,0.0253,"24780, Greenville, NC"
26140,"Homosassa Springs, FL",1445,0.0,3.0,8.1,-3.0,35.6,54.6,86.1,6.6,40.3,-26.8,16.3,-150.2,16.6,121.2,-64.1,331.2,312.2,515.7,86.0,55.8,44989,0.03213,"26140, Homosassa Springs, FL"
27340,"Jacksonville, NC",1316,0.0,-1.1,-4.2,-13.9,65.6,-2.5,121.9,-62.4,-18.4,-22.7,16.2,-206.6,23.0,123.0,245.2,277.8,69.1,615.5,119.5,-28.8,53474,0.02461,"27340, Jacksonville, NC"
31860,"Mankato, MN",2705,0.0,-2.2,5.5,34.1,360.1,59.3,189.0,75.5,154.4,43.8,37.4,26.1,46.2,47.4,166.0,524.0,130.5,591.8,150.5,65.9,48200,0.05613,"31860, Mankato, MN"
31900,"Mansfield, OH",2375,0.0,14.1,2.0,73.9,636.5,46.7,51.1,-28.2,47.7,9.9,7.5,62.4,11.7,187.8,77.9,382.5,72.0,466.7,176.5,76.4,49490,0.04799,"31900, Mansfield, OH"
34380,"Mount Pleasant, MI",1856,0.0,5.4,2.4,4.9,216.8,27.7,78.3,-7.8,32.5,1.5,20.0,5.0,4.1,120.7,164.4,278.2,81.3,691.4,79.3,49.6,24088,0.07704,"34380, Mount Pleasant, MI"
37220,"Pahrump, NV",757,0.0,-61.9,-12.6,68.6,-17.1,-11.9,-70.8,-39.5,27.6,-6.6,17.9,-11.5,15.0,51.5,65.9,52.6,130.7,520.5,19.3,19.3,13988,0.05412,"37220, Pahrump, NV"
40860,"Rutland, VT",1316,0.0,-20.4,17.7,140.6,23.3,67.5,244.2,51.5,41.1,7.3,12.6,-11.5,3.9,-15.6,-234.9,255.5,68.6,586.6,3.0,74.5,30050,0.04378,"40860, Rutland, VT"
41100,"St. George, UT",-1302,0.0,49.3,-15.2,-398.1,-178.3,-70.6,-500.1,-89.2,18.1,-151.5,9.2,-264.8,-16.2,-139.5,521.5,-384.3,-169.8,342.9,60.1,75.0,64083,-0.02031,"41100, St. George, UT"
41780,"Sandusky, OH",1791,0.0,9.7,2.4,45.9,313.8,22.4,34.1,-6.3,37.7,9.7,10.3,33.7,8.2,80.3,61.5,323.4,125.3,521.2,117.6,40.4,34194,0.05239,"41780, Sandusky, OH"
42680,"Sebastian-Vero Beach, FL",2118,0.0,-1.7,3.2,-3.5,60.2,54.1,194.4,37.7,97.9,-38.7,20.5,-219.1,24.9,179.8,-31.6,262.6,617.7,649.3,138.2,72.9,57398,0.03691,"42680, Sebastian-Vero Beach, FL"
43100,"Sheboygan, WI",2058,0.0,4.3,0.7,84.1,332.2,51.0,54.6,-31.2,-10.3,110.2,0.1,-17.3,-0.1,52.9,169.7,260.7,242.3,610.1,51.2,93.0,58671,0.03508,"43100, Sheboygan, WI"
43580,"Sioux City, IA-NE-SD",2774,0.0,-3.3,5.8,174.5,-195.0,94.7,38.5,34.2,163.7,59.8,25.5,53.3,47.9,98.4,529.7,662.0,151.0,710.3,62.9,60.4,86338,0.03213,"43580, Sioux City, IA-NE-SD"
44220,"Springfield, OH",2571,0.0,7.9,1.6,64.1,695.1,44.5,60.6,-104.7,20.3,-1.3,17.3,53.7,19.8,178.2,144.1,463.5,85.7,555.0,192.9,72.5,57090,0.04503,"44220, Springfield, OH"
45820,"Topeka, KS",2981,0.0,23.8,-4.3,-44.1,226.8,20.3,148.1,-108.9,132.1,147.5,96.9,-34.2,101.0,303.9,113.4,734.4,254.4,625.8,168.3,76.4,108356,0.02751,"45820, Topeka, KS"
48580,"Whitewater, WI",1970,0.0,-0.3,1.5,90.8,107.9,62.4,9.9,-31.6,10.1,58.9,-8.8,-17.8,-0.1,24.7,206.7,231.3,363.3,642.8,59.3,159.0,50775,0.0388,"48580, Whitewater, WI"
10820,"Alexandria, MN",925,0.0,1.1,3.5,15.3,63.6,36.7,64.3,25.0,27.8,21.4,10.9,6.4,13.2,18.9,28.6,209.2,43.3,252.6,60.0,23.6,18183,0.0509,"10820, Alexandria, MN"
10860,"Alice, TX",692,0.0,392.3,-1.1,85.7,40.6,-4.3,-21.0,-14.2,1.6,-12.6,16.2,-27.4,4.1,-4.6,12.3,115.0,16.3,54.6,38.1,-0.2,16367,0.04226,"10860, Alice, TX"
11380,"Andrews, TX",575,0.0,435.4,-1.4,62.2,13.7,-5.5,-7.5,-17.4,2.4,-3.8,7.1,-11.8,1.1,1.8,2.6,12.6,14.6,41.1,24.8,3.0,8462,0.06797,"11380, Andrews, TX"
11620,"Ardmore, OK",518,0.0,250.4,0.4,16.1,3.9,14.0,-47.2,-21.4,34.6,25.2,18.4,0.2,0.0,72.0,-75.2,118.5,39.3,40.3,16.1,12.9,20718,0.02502,"11620, Ardmore, OK"
